id,name,author,version,status
tAlfanumerico,Alfanumérico,Daniel Isai Ortega,0.1,Creado
tArchivoDigital,Archivo digital,Daniel Isai Ortega,0.1,Creado
tAtributo,Atributo,Daniel Isai Ortega,0.1,Creado
tBooleano,Booleano,Daniel Isai Ortega,0.1,Creado
tCadena,Cadena,Daniel Isai Ortega,0.1,Creado
tCalmecac,CALMÉCAC,Daniel Isai Ortega,0.1,Creado
tCatalogo,Catálogo,Daniel Isai Ortega,0.1,Creado
tDecimal,Decimal,Daniel Isai Ortega,0.1,Creado
tEntero,Entero,Daniel Isai Ortega,0.1,Creado
tEntidad,Entidad,Daniel Isai Ortega,0.1,Creado
tFecha,Fecha,Daniel Isai Ortega,0.1,Creado
tFechaCorta,Fecha corta,Daniel Isai Ortega,0.1,Creado
tFechaLarga,Fecha larga,Daniel Isai Ortega,0.1,Creado
tFrase,Frase,Daniel Isai Ortega,0.1,Creado
tLayout,Layout,Daniel Isai Ortega,0.1,Creado
tNumerico,Numérico,Daniel Isai Ortega,0.1,Creado
tOpcional,Opcional,Daniel Isai Ortega,0.1,Creado
tPalabra,Palabra,Daniel Isai Ortega,0.1,Creado
tParrafo,Párrafo,Daniel Isai Ortega,0.1,Creado
tRequerido,Requerido,Daniel Isai Ortega,0.1,Creado
tTipoDato,Tipo de dato,Daniel Isai Ortega,0.1,Creado
tAcademia,Academia,Daniel Isai Ortega,0.1,Creado
tAlumno,Alumno,Daniel Isai Ortega,0.1,Creado
tAreaDeConocimiento,Área de conocimiento,Daniel Isai Ortega,0.1,Creado
tAspirantesNoInscritos,Aspirantes no inscritos,Daniel Isai Ortega,0.1,Creado
tAspirantesInscritos,Aspirantes inscritos,Daniel Isai Ortega,0.1,Creado
tAlumnosNoInscritos,Alumnos no inscritos,Daniel Isai Ortega,0.1,Creado
tAlumnosInscritos,Alumnos inscritos,Daniel Isai Ortega,0.1,Creado
tCalendarioAcademico,Calendario Académico,Daniel Isai Ortega,0.1,Creado
tCredito,Crédito,Daniel Isai Ortega,0.1,Creado
tCategoria,Categoría,Daniel Isai Ortega,0.1,Creado
tCategoriaPA,Categoría del personal académico,Daniel Isai Ortega,0.1,Creado
tCategoriaProfC,Categoría del profesor por carrera,Daniel Isai Ortega,0.1,Creado
tCategoriaTecnicoC,Categoría del técnico docente por carrera,Daniel Isai Ortega,0.1,Creado
tCarga,Carga,Daniel Isai Ortega,0.1,Creado
tCargaReglamentaria,Carga reglamentaria,Daniel Isai Ortega,0.1,Creado
tCicloEscolar,Ciclo Escolar,Daniel Isai Ortega,0.1,Creado
tDAE,DAE,Daniel Isai Ortega,0.1,Creado
tDEMS,DEMS,Daniel Isai Ortega,0.1,Creado
tDES,DES,Daniel Isai Ortega,0.1,Creado
tUA,UA,Daniel Isai Ortega,0.1,Creado
