id,name,author,version,status
Alumno,Alumno,Daniel Isai Ortega,0.1,Creado
Alumno.nombre,Nombre,Daniel Isai Ortega,0.1,Creado
Alumno.primerApellido,Primer Apellido,Daniel Isai Ortega,0.1,Creado
Alumno.segundoApellido,Segundo Apellido,Daniel Isai Ortega,0.1,Creado
Alumno.CURP,CURP,Daniel Isai Ortega,0.1,Creado
Alumno.fechaDeNacimiento,Fecha de Nacimiento,Daniel Isai Ortega,0.1,Creado
Alumno.fechaDeUltimaActualizacion,Fecha de Última Actualización,Daniel Isai Ortega,0.1,Creado
Alumno.fotografia,Fotografía,Daniel Isai Ortega,0.1,Creado
Domicilio,Domicilio,Daniel Isai Ortega,0.1,Creado
Domicilio.colonia,Colonia,Daniel Isai Ortega,0.1,Creado
Domicilio.calle,Calle,Daniel Isai Ortega,0.1,Creado
Domicilio.numExt,Número Exterior,Daniel Isai Ortega,0.1,Creado
Domicilio.numInt,Número Interior,Daniel Isai Ortega,0.1,Creado
Domicilio.cp,Codigo Postal,Daniel Isai Ortega,0.1,Creado
AlumnoAsegurado,Alumno Asegurado,Daniel Isai Ortega,0.1,Creado
AlumnoAsegurado.numeroDeSeguridad,Número de seguridad,Daniel Isai Ortega,0.1,Creado
AlumnoAsegurado.ingreso,Ingreso,Daniel Isai Ortega,0.1,Creado
AlumnoAsegurado.vigencia,Vigencia,Daniel Isai Ortega,0.1,Creado
InformacionMedica,Información Médica,Daniel Isai Ortega,0.1,Creado
InformacionMedica.peso,Peso,Daniel Isai Ortega,0.1,Creado
InformacionMedica.estatura,Estatura,Daniel Isai Ortega,0.1,Creado
InformacionMedica.piePlano,Tiene pie plano,Daniel Isai Ortega,0.1,Creado
InformacionMedica.estaTatuado,Esta Tatuado,Daniel Isai Ortega,0.1,Creado
InformacionMedica.observaciones,Observaciones,Daniel Isai Ortega,0.1,Creado
ContactoDeAlumno,Contacto de Alumno,Daniel Isai Ortega,0.1,Creado
ContactoDeAlumno.dato,Dato,Daniel Isai Ortega,0.1,Creado
ContactoDeAlumno.auxiliarA,Auxiliar A,Daniel Isai Ortega,0.1,Creado
ContactoDeAlumno.auxiliarB,Auxiliar B,Daniel Isai Ortega,0.1,Creado
ContactoPersonal,Contacto Personal,Daniel Isai Ortega,0.1,Creado
ContactoPersonal.nombre,Nombre,Daniel Isai Ortega,0.1,Creado
ContactoPersonal.primerApellido,Primer Apellido,Daniel Isai Ortega,0.1,Creado
ContactoPersonal.segundoApellido,Segundo Apellido,Daniel Isai Ortega,0.1,Creado
ContactoPersonal.esTutor,Es Tutor,Daniel Isai Ortega,0.1,Creado
ContactoDeTutor,Contacto de Tutor,Daniel Isai Ortega,0.1,Creado
EnfermedadEnInformacionMedica,Enfermedad en Información Médica,Daniel Isai Ortega,0.1,Creado
EnfermedadEnInformacionMedica.fechaDeDeteccion,Fecha de detección,Daniel Isai Ortega,0.1,Creado
EnfermedadEnInformacionMedica.contagiosa,Contagiosa,Daniel Isai Ortega,0.1,Creado
EnfermedadEnInformacionMedica.observaciones,Observaciones,Daniel Isai Ortega,0.1,Creado
AlumnoConDeporte,Alumno con Deporte,Daniel Isai Ortega,0.1,Creado
DiscapacidadEnInformacionMedica,Discapacidad en Información Médica,Daniel Isai Ortega,0.1,Creado
DocumentoDeIdentidad,Documento de Identidad,Daniel Isai Ortega,0.1,Creado
AlumnoAsignado,Alumno Asignado,Daniel Isai Ortega,0.1,Creado
AlumnoAsignado.observacionDeDocumento,Observacion de documento,Daniel Isai Ortega,0.1,Creado
AlumnoAsignado.folio,Folio,Daniel Isai Ortega,0.1,Creado
AlumnoAsignado.preboleta,Preboleta,Daniel Isai Ortega,0.1,Creado
AlumnoAsignado.boleta,Boleta,Daniel Isai Ortega,0.1,Creado
AlumnoAsignado.fechaDeUltimaActualizacion,Fecha de Última Actualización,Daniel Isai Ortega,0.1,Creado
AlumnoAsignado.fechaDeInicio,Fecha de Inicio,Daniel Isai Ortega,0.1,Creado
AlumnoAsignado.fechaDeFin,Fecha de Fin,Daniel Isai Ortega,0.1,Creado
AlumnoInscrito,Alumno Inscrito,Daniel Isai Ortega,0.1,Creado
AlumnoInscrito.fechaInicio,Fecha Inicio,Daniel Isai Ortega,0.1,Creado
AlumnoInscrito.fechaFin,Fecha Fin,Daniel Isai Ortega,0.1,Creado
TrayectorioDeAlumnoAsignado,Trayectoria de Alumno Asignado,Daniel Isai Ortega,0.1,Creado
TrayectorioDeAlumnoAsignado.fechaDeCambio,Fecha de Cambio,Daniel Isai Ortega,0.1,Creado
DocumentoDeAsignacion,Documento de Asignación,Daniel Isai Ortega,0.1,Creado
ProcesoDeAdmision,Proceso,Daniel Isai Ortega,0.1,Creado
ProcesoDeAdmision.nombre,Nombre,Daniel Isai Ortega,0.1,Creado
IN-DAE-UI1,Bienvenido,Daniel Isai Ortega,0.1,Creado
IN-DAE-UI1a,Selección de Periodo Escolar y Modalidad,Daniel Isai Ortega,0.1,Creado
