clave,clave_padre,nombre,abreviatura,tipo,categoria,nivel,pagina_manual,activo,notas
DG,,Dirección General,,Dirección General,Órganos y Áreas de la Administración Central,1,10,true,
DG.1,DG,Coordinación de Asesores,,Coordinación,Órganos y Áreas de la Administración Central,2,11,true,
DG.2,DG,Coordinación Administrativa,,Coordinación,Órganos y Áreas de la Administración Central,2,12,true,
DG.3,DG,Coordinación de Relaciones Públicas,,Coordinación,Órganos y Áreas de la Administración Central,2,13,true,
DG.4,DG,Coordinación de Comunicación Social,,Coordinación,Órganos y Áreas de la Administración Central,2,14,true,
DG.4.1,DG.4,División de Difusión,,División,Órganos y Áreas de la Administración Central,3,15,true,
DG.4.2,DG.4,División de Redacción,,División,Órganos y Áreas de la Administración Central,3,16,true,
SG,,Secretaría General,,Secretaría,Órganos y Áreas de la Administración Central,1,18,true,
SG.1,SG,Coordinación de Asistencia Técnica,,Coordinación,Órganos y Áreas de la Administración Central,2,20,true,
SG.1.1,SG.1,División de Prevención,,División,Órganos y Áreas de la Administración Central,3,21,true,
SG.1.2,SG.1,División de Apoyo y Seguridad,,División,Órganos y Áreas de la Administración Central,3,22,true,
SG.1.3,SG.1,División Operación,,División,Órganos y Áreas de la Administración Central,3,24,true,
OAG,,Oficina del Abogado General,,Oficina,Órganos y Áreas de la Administración Central,1,27,true,
OAG.1,OAG,Dirección de Asuntos Jurídicos,,Dirección,Órganos y Áreas de la Administración Central,2,28,true,
OAG.2,OAG,Dirección de Normatividad Consulta y Dictaminación,,Dirección,Órganos y Áreas de la Administración Central,2,30,true,
CNC,,Centro Nacional de Cálculo,CENAC,Centro,Órganos y Áreas de la Administración Central,1,32,true,
CNC.1,CNC,División de Ingeniería de Software y Administración de Bases de Datos,,División,Órganos y Áreas de la Administración Central,2,33,true,
CNC.2,CNC,División de Desarrollo de Sistemas,,División,Órganos y Áreas de la Administración Central,2,34,true,
PD,,Presidencia del Decanato,,Presidencia,Órganos y Áreas de la Administración Central,1,36,true,
CGSI,,Coordinación General de Servicios Informáticos,,Coordinación,Órganos y Áreas de la Administración Central,1,38,true,
CGSI.1,CGSI,Dirección de Cómputo y Comunicaciones,,Dirección,Órganos y Áreas de la Administración Central,2,39,true,
CGSI.1.1,CGSI.1,División de Cómputo,,División,Órganos y Áreas de la Administración Central,3,40,true,
CGSI.1.2,CGSI.1,División de Telecomunicaciones,,División,Órganos y Áreas de la Administración Central,3,41,true,
CGSI.1.3,CGSI.1,División de Servicios Técnicos,,División,Órganos y Áreas de la Administración Central,3,42,true,
CGSI.2,CGSI,Coordinación del Sistema Institucional de Información,,Coordinación,Órganos y Áreas de la Administración Central,2,43,true,
OIC,,Órgano Interno de Control,,Órgano,Órganos y Áreas de la Administración Central,1,45,true,
OIC.1,OIC,Área de Auditoría para el Desarrollo y Mejora de la Gestión Pública,,Área,Órganos y Áreas de la Administración Central,2,46,true,
OIC.2,OIC,Área de Auditoría Interna a Áreas Centrales y Centros Federales,,Área,Órganos y Áreas de la Administración Central,2,47,true,
OIC.3,OIC,Área de Auditoría Interna a Unidades Académicas,,Área,Órganos y Áreas de la Administración Central,2,48,true,
OIC.4,OIC,Área de Quejas y Responsabilidades,,Área,Órganos y Áreas de la Administración Central,2,49,true,
UPGPG,,Unidad Politécnica de Gestión con Perspectiva de Género,UPGPG,Unidad,Órganos y Áreas de la Administración Central,1,51,true,
DDP,,Defensoría de los Derechos Politécnicos,DDP,Dependencia,Órganos y Áreas de la Administración Central,1,53,true,
SA,,Secretaría Académica,,Secretaría,Órganos y Áreas de la Administración Central,1,55,true,
SA.1,SA,Dirección de Educación Media Superior,,Dirección,Órganos y Áreas de la Administración Central,2,58,true,
SA.1.1,SA.1,División de Procesos Formativos,,División,Órganos y Áreas de la Administración Central,3,59,true,
SA.1.2,SA.1,División de Innovación Académica,,División,Órganos y Áreas de la Administración Central,3,60,true,
SA.1.3,SA.1,División de Gestión y Calidad Educativa,,División,Órganos y Áreas de la Administración Central,3,61,true,
SA.2,SA,Dirección de Educación Superior,,Dirección,Órganos y Áreas de la Administración Central,2,62,true,
SA.2.1,SA.2,División de Procesos Formativos,,División,Órganos y Áreas de la Administración Central,3,63,true,
SA.2.2,SA.2,División de Innovación Académica,,División,Órganos y Áreas de la Administración Central,3,64,true,
SA.2.3,SA.2,División de Gestión y Calidad Educativa,,División,Órganos y Áreas de la Administración Central,3,65,true,
SA.2.4,SA.2,División de Operación de Unidades Académicas,,División,Órganos y Áreas de la Administración Central,3,66,true,
SA.3,SA,Dirección de Formación en Lenguas Extranjeras,,Dirección,Órganos y Áreas de la Administración Central,2,67,true,
SIP,,Secretaría de Investigación y Posgrado,,Secretaría,Órganos y Áreas de la Administración Central,1,69,true,
SIP.1,SIP,Dirección de Posgrado,,Dirección,Órganos y Áreas de la Administración Central,2,70,true,
SIP.1.1,SIP.1,División de Operación y Promoción del Posgrado,,División,Órganos y Áreas de la Administración Central,3,71,true,
SIP.2,SIP,Dirección de Apoyo al Posgrado,,Dirección,Órganos y Áreas de la Administración Central,2,72,true,
SIP.2.1,SIP.2,División de Apoyo a Programas en Ambientes Virtuales,,División,Órganos y Áreas de la Administración Central,3,73,true,
SIP.3,SIP,Dirección de Investigación,,Dirección,Órganos y Áreas de la Administración Central,2,74,true,
SIP.3.1,SIP.3,División de Operación y Promoción a la Investigación,,División,Órganos y Áreas de la Administración Central,3,75,true,
SIP.3.2,SIP.3,División de Apoyo a la Investigación,,División,Órganos y Áreas de la Administración Central,3,76,true,
SSE,,Secretaría de Servicios Educativos,,Secretaría,Órganos y Áreas de la Administración Central,1,78,true,
SSE.1,SSE,Dirección de Administración Escolar,,Dirección,Órganos y Áreas de la Administración Central,2,80,true,
SSE.1.1,SSE.1,División de Admisión y Control Escolar,,División,Órganos y Áreas de la Administración Central,3,81,true,
SSE.1.2,SSE.1,División de Registro y Certificación de Estudios,,División,Órganos y Áreas de la Administración Central,3,83,true,
SSE.2,SSE,Dirección de Servicios Estudiantiles,,Dirección,Órganos y Áreas de la Administración Central,2,84,true,
SSE.2.1,SSE.2,División de Prestaciones Sociales y Atención a la Salud,,División,Órganos y Áreas de la Administración Central,3,85,true,
SSE.2.2,SSE.2,División de Apoyo y Servicios a Estudiantes,,División,Órganos y Áreas de la Administración Central,3,87,true,
SSE.3,SSE,Dirección de Bibliotecas,,Dirección,Órganos y Áreas de la Administración Central,2,89,true,
SSE.3.1,SSE.3,División de Servicios Bibliotecarios,,División,Órganos y Áreas de la Administración Central,3,90,true,
SSE.3.2,SSE.3,División de Información y Documentación,,División,Órganos y Áreas de la Administración Central,3,91,true,
SSE.4,SSE,Dirección de Difusión y Fomento a la Cultura,,Dirección,Órganos y Áreas de la Administración Central,2,92,true,
SSE.4.1,SSE.4,División de Fomento y Promoción Cultural,,División,Órganos y Áreas de la Administración Central,3,94,true,
SSE.4.2,SSE.4,División de Difusión,,División,Órganos y Áreas de la Administración Central,3,95,true,
SSE.5,SSE,Dirección de Desarrollo y Fomento Deportivo,,Dirección,Órganos y Áreas de la Administración Central,2,96,true,
SSE.5.1,SSE.5,División de Fomento Deportivo,,División,Órganos y Áreas de la Administración Central,3,97,true,
SSE.5.2,SSE.5,División de Desarrollo Deportivo,,División,Órganos y Áreas de la Administración Central,3,98,true,
SEIS,,Secretaría de Extensión e Integración Social,,Secretaría,Órganos y Áreas de la Administración Central,1,100,true,
SEIS.1,SEIS,Dirección de Egresados y Servicio Social,,Dirección,Órganos y Áreas de la Administración Central,2,102,true,
SEIS.1.1,SEIS.1,División de Servicio Social,,División,Órganos y Áreas de la Administración Central,3,103,true,
SEIS.1.2,SEIS.1,División de Egresados,,División,Órganos y Áreas de la Administración Central,3,104,true,
SEIS.2,SEIS,Dirección de Publicaciones,,Dirección,Órganos y Áreas de la Administración Central,2,105,true,
SEIS.2.1,SEIS.2,División Editorial,,División,Órganos y Áreas de la Administración Central,3,106,true,
SEIS.2.2,SEIS.2,División de Comercialización de la Obra Editorial,,División,Órganos y Áreas de la Administración Central,3,109,true,
SEIS.3,SEIS,Dirección de Educación Continua,,Dirección,Órganos y Áreas de la Administración Central,2,110,true,
SEIS.3.1,SEIS.3,División de Programas de Educación Continua,,División,Órganos y Áreas de la Administración Central,3,111,true,
SEIS.3.2,SEIS.3,División de Operación de Centros de Educación Continua,,División,Órganos y Áreas de la Administración Central,3,112,true,
SEIS.4,SEIS,Coordinación de Cooperación Académica,,Coordinación,Órganos y Áreas de la Administración Central,2,113,true,
SEIS.4.1,SEIS.4,División de Gestión de la Cooperación,,División,Órganos y Áreas de la Administración Central,3,114,true,
SEIS.4.2,SEIS.4,División de Relaciones Nacionales e Internacionales,,División,Órganos y Áreas de la Administración Central,3,115,true,
SGE,,Secretaría de Gestión Estratégica,,Secretaría,Órganos y Áreas de la Administración Central,1,117,true,
SGE.1,SGE,Dirección de Planeación,,Dirección,Órganos y Áreas de la Administración Central,2,118,true,
SGE.1.1,SGE.1,División de Planeación y Prospectiva,,División,Órganos y Áreas de la Administración Central,3,119,true,
SGE.1.2,SGE.1,División de Estudios y Proyectos,,División,Órganos y Áreas de la Administración Central,3,120,true,
SGE.2,SGE,Dirección de Evaluación,,Dirección,Órganos y Áreas de la Administración Central,2,121,true,
SGE.2.1,SGE.2,División de Evaluación,,División,Órganos y Áreas de la Administración Central,3,122,true,
SGE.2.2,SGE.2,División de Información,,División,Órganos y Áreas de la Administración Central,3,123,true,
SGE.3,SGE,Dirección de Programación y Presupuesto,,Dirección,Órganos y Áreas de la Administración Central,2,124,true,
SGE.3.1,SGE.3,División de Programación,,División,Órganos y Áreas de la Administración Central,3,125,true,
SGE.3.2,SGE.3,División de Presupuesto,,División,Órganos y Áreas de la Administración Central,3,126,true,
SAD,,Secretaría de Administración,,Secretaría,Órganos y Áreas de la Administración Central,1,128,true,
SAD.1,SAD,Dirección de Capital Humano,,Dirección,Órganos y Áreas de la Administración Central,2,130,true,
SAD.1.1,SAD.1,División de Admisión y Desarrollo del Personal,,División,Órganos y Áreas de la Administración Central,3,131,true,
SAD.1.2,SAD.1,División de Trayectorias del Personal,,División,Órganos y Áreas de la Administración Central,3,132,true,
SAD.1.3,SAD.1,División de Sistemas de Información,,División,Órganos y Áreas de la Administración Central,3,134,true,
SAD.1.4,SAD.1,División de Remuneraciones,,División,Órganos y Áreas de la Administración Central,3,135,true,
SAD.2,SAD,Dirección de Recursos Financieros,,Dirección,Órganos y Áreas de la Administración Central,2,136,true,
SAD.2.1,SAD.2,División de Control y Ejercicio del Presupuesto,,División,Órganos y Áreas de la Administración Central,3,137,true,
SAD.2.2,SAD.2,División de Contabilidad,,División,Órganos y Áreas de la Administración Central,3,138,true,
SAD.3,SAD,Dirección de Recursos Materiales y Servicios,,Dirección,Órganos y Áreas de la Administración Central,2,139,true,
SAD.3.1,SAD.3,División de Adquisiciones de Bienes y Servicios,,División,Órganos y Áreas de la Administración Central,3,140,true,
SAD.3.2,SAD.3,División de Infraestructura Física,,División,Órganos y Áreas de la Administración Central,3,141,true,
